gameId,userColor,moveNumber,san,sacrifice,sacSquare,playedEval,evalLoss,quietAlt,margin,shape,accepted,admitted,fresh,standing,rejectedBy,label
168765809026,w,22,Rxe6+,5,e6,-164,687,523,-687,direct,true,offer,0,0,sound,0
168618236454,w,16,d4,0,,138,361,499,-361,direct,false,allow,3,0,strong,0
168618236454,w,21,b4,0,,-434,465,31,-465,direct,false,allow,3,0,sound,0
168618236454,w,22,g3,0,,-598,212,-386,-212,direct,false,allow,3.2,0,sound,0
168618236454,w,23,g4,0,,-711,136,-575,-136,direct,false,allow,0,3.2,sound,0
168618236454,w,24,f4,1,f4,-734,16,-718,-16,direct,false,allow,1.8,3.2,sound,0
168618236454,w,25,Qxa1,-3.2,,-99950,99203,-747,-99203,direct,false,allow,0,3.2,sound,0
168479468892,b,14,Qxf7,6,f7,-99990,0,,,direct,false,offer,1,1.8,sound,0
168453196234,w,14,Re1,0,,-116,817,701,-817,direct,true,allow,3.2,1,sound,0
168453196234,w,16,Qg3,4,g3,-501,352,-149,-352,direct,true,offer,0,0,sound,0
168453196234,w,17,Bxc7,0,,-191,470,279,-470,direct,false,allow,0,4,sound,0
168453196234,w,20,g3,0,,-1462,767,-695,-767,direct,true,allow,5,1,sound,0
168423019400,b,14,a6,0,,-387,733,346,-733,direct,true,allow,3,0,sound,0
168339816614,b,13,c6,0,,216,141,357,-141,direct,true,allow,3,0,strong,0
168339816614,b,15,bxc6,0,,-929,1672,743,-1672,direct,true,allow,9,0,sound,0
168339695312,w,18,Be7+,0,,698,99292,99990,-99292,direct,true,allow,5,0,strong,0
168336220820,w,14,Qa3,1,c4,462,-22,,,discovered,true,allow,2.2,0,necessary,0
168336220820,w,16,e5,0,,-477,542,65,-542,direct,true,allow,5.8,0,sound,0
168336220820,w,17,Qxd7+,6,d7,-318,27,,,direct,true,offer,0,0,sound,0
168336220820,w,27,exd6,-3.2,,-471,188,-283,-188,direct,true,allow,5,0,sound,0
168336220820,w,29,Rd1+,5,d1,-829,296,-533,-296,direct,true,offer,0,0,sound,0
168334603690,b,6,Bxf2+,3.2,f2,68,38,12,56,direct,false,offer,0,0,,1
168334571828,w,4,Qb5,6,b5,-679,598,-81,-598,direct,true,offer,1,0,sound,0
168334377314,b,16,Na5,3.2,b4,310,423,733,-423,discovered,true,offer,0,1,strong,0
168314680824,b,12,Re8,0,,-264,79,-185,-79,direct,false,allow,3.2,0,sound,0
168314512686,w,3,Qxg5,9,g5,-647,760,113,-760,direct,true,offer,0,0,sound,0
168314512686,w,19,Ne6+,2,e6,-665,107,-558,-107,direct,true,offer,0,0,sound,0
168314512686,w,21,Bf4+,3,d8,-718,177,-541,-177,discovered,false,offer,0,0,sound,0
168314512686,w,27,Re6,0,,-1048,151,-897,-151,direct,true,allow,3,0,sound,0
168314512686,w,28,Rxc6+,5,c6,-1405,325,-1080,-325,direct,true,offer,0,0,sound,0
168292604126,b,12,Kf8,0,,-670,-16,-700,30,direct,true,allow,5,0,sound,0
